pays,code_pays,annee,produit,code_produit,nature,dispo_int,production,importation,exportation,variation_stock
Arménie,1,2012,Poissons Pelagiques,2763,animal,11.0,,11.0,0.0,
Arménie,1,2012,"Poissons Marins, Autres",2764,animal,1.0,,1.0,0.0,0.0
Arménie,1,2012,Crustacés,2765,animal,0.0,2.0,0.0,2.0,
Arménie,1,2012,Cephalopodes,2766,animal,0.0,,0.0,0.0,
Arménie,1,2012,"Mollusques, Autres",2767,animal,0.0,,0.0,,
Arménie,1,2012,Animaux Aquatiques Autre,2769,animal,0.0,,0.0,,
Arménie,1,2012,Plantes Aquatiques,2775,animal,0.0,0.0,0.0,0.0,
Arménie,1,2012,Huiles de Poissons,2781,animal,0.0,,0.0,,
Arménie,1,2012,Huiles de Foie de Poisso,2782,animal,0.0,,0.0,,
Arménie,1,2012,Riz (Eq Blanchi),2805,végétal,9.0,,9.0,0.0,0.0
Arménie,1,2012,Lait - Excl Beurre,2848,animal,636.0,618.0,27.0,9.0,0.0
Arménie,1,2013,Blé,2511,végétal,554.0,312.0,361.0,1.0,-118.0
Arménie,1,2013,Orge,2513,végétal,198.0,189.0,9.0,0.0,0.0
Arménie,1,2013,Maïs,2514,végétal,102.0,21.0,82.0,,
Arménie,1,2013,Seigle,2515,végétal,1.0,1.0,0.0,,0.0
Arménie,1,2013,Avoine,2516,végétal,6.0,5.0,1.0,,
Arménie,1,2013,Millet,2517,végétal,0.0,,0.0,,
Arménie,1,2013,Sorgho,2518,végétal,0.0,,0.0,,
Arménie,1,2013,"Céréales, Autres",2520,végétal,21.0,17.0,4.0,0.0,0.0
Arménie,1,2013,Pommes de Terre,2531,végétal,672.0,661.0,5.0,9.0,15.0
Arménie,1,2013,Manioc,2532,végétal,0.0,,0.0,,
Arménie,1,2013,"Racines, Nda",2534,végétal,0.0,,0.0,,
Arménie,1,2013,"Sucre, betterave",2537,végétal,55.0,55.0,0.0,,
Arménie,1,2013,Sucre Eq Brut,2542,végétal,93.0,8.0,85.0,2.0,3.0
Arménie,1,2013,Edulcorants Autres,2543,végétal,5.0,2.0,2.0,0.0,2.0
Arménie,1,2013,Haricots,2546,végétal,5.0,5.0,0.0,,
Arménie,1,2013,Pois,2547,végétal,2.0,0.0,2.0,,
Arménie,1,2013,Légumineuses Autres,2549,végétal,3.0,0.0,3.0,0.0,
Arménie,1,2013,Noix,2551,végétal,6.0,5.0,2.0,1.0,0.0
Arménie,1,2013,Soja,2555,végétal,0.0,,0.0,,
Arménie,1,2013,Arachides Decortiquees,2556,végétal,1.0,,1.0,0.0,0.0
Arménie,1,2013,Graines de tournesol,2557,végétal,2.0,,2.0,0.0,0.0
Arménie,1,2013,Graines Colza/Moutarde,2558,végétal,0.0,,0.0,,
